Bag,Bolsa,"A flexible container made of plastic, paper, or fabric, used for carrying items.",I put my groceries in a bag.
Baked potatoes,Papas al horno,Potatoes that have been cooked in an oven until soft.,He served baked potatoes with sour cream and chives.
Baker,Panadero,"A person who makes and sells bread, cakes, and pastries.",The baker baked fresh bread this morning.
Bald,Calvo,Lacking hair on the scalp.,The bald man is my uncle.
Banana,Plátano / Banana,"A long, curved fruit with a yellow peel and soft, sweet flesh.",I like to eat a banana for breakfast.
Bathing suit,Traje de baño,"A garment worn for swimming, typically consisting of a one-piece or two-piece outfit.",She wore a bathing suit at the pool.
Bathrode,Bata de baño,A loose robe worn before or after bathing.,He put on his bathrobe after the shower.
Be careful,Tener cuidado,To take precautions to avoid danger or mistakes.,Be careful when crossing the street.
Beach,Playa,A sandy or pebbly shore by a body of water.,We went to the beach for vacation.
Beautiful,Hermoso / Hermosa,Pleasing the senses or mind aesthetically.,The beautiful flowers are blooming.
Bed,Cama,A piece of furniture for sleeping or resting.,I sleep in my bed at night.
Bed linen,Ropa de cama,"The sheets, pillowcases, and blankets used on a bed.",She bought new bed linen for her bedroom.
Bedspread,Cubrecama,A decorative covering for a bed.,The bedspread has a beautiful pattern.
Beef,Carne de res,"The meat from cattle, commonly used in cooking.",They grilled some beef steaks for dinner.
Beer,Cerveza,An alcoholic beverage made from fermented grains.,He enjoys drinking a cold beer on a hot day.
Before,Antes de,Earlier than a particular time or event.,Finish your homework before dinner.
Behind,Detrás de,Indicates a position at the back of something.,The garden is behind the house.
Beige,Beige,A light brownish-yellow color.,The walls of the house are painted beige.
Believe,Creer,To accept something as true or real.,I believe in the power of positive thinking.
Bet,Apuesta,To say you think something will happen and risk money or something else on it.,I made a bet with my friend on the game.
Big,Grande,"Of considerable size, extent, or intensity.",The big dog barked loudly.
Bike,Bicicleta,A vehicle with two wheels that is powered by pedaling.,She rides her bike to school every day.
Bill,Cuenta,A statement of money owed for goods or services.,The waiter brought the bill after we finished our meal.
Black,Negro,The color of darkness.,Black is often associated with elegance.
Blanket,Manta,A large piece of fabric used to keep warm.,She wrapped
Blonde,Rubio,Having light-colored hair.,The blonde girl is my sister.
Blue,Azul,The color of the sky and the ocean.,The sky is blue.
Board,Pizarra / Tabla,A flat surface used for writing or displaying information.,The teacher wrote on the board.
Boat,Barco,A vessel used for traveling on water.,They rented a boat for a day on the lake.
Boiled potatoes,Papas hervidas,Potatoes that have been cooked in boiling water until tender.,She served boiled potatoes as a side dish.
Book,Libro,A set of written or printed pages bound together.,I am reading a book.
Bookshelf,Estantería,A piece of furniture with horizontal shelves for storing books.,He organized his books on the new bookshelf.
Boots,Botas,"A type of footwear that covers the foot and ankle, and sometimes extends up the leg.",She wore her new boots in the snow.
Boss,Jefe,A person in charge of a worker or organization.,The boss called a meeting.
Bottle,Botella,"A container, typically made of glass or plastic, used for holding liquids.",I drank water from a bottle.
Bowl,Tazón / Cuenco,"A round, deep dish used for holding food or liquids.",I ate soup from a bowl.
Box,Caja,"A container with flat sides and a lid, used for storing or transporting things.",The box is full of books.
Box of tissues,Caja de pañuelos,A container filled with tissues for personal use.,He grabbed a tissue from the box of tissues.
Boy,Niño,A male child.,The boy is playing soccer.
Bra,Sostén / Sujetador,A piece of clothing worn by women to support the breasts.,She bought a new bra.
Bread,Pan,"A staple food made from flour, water, and yeast, usually baked.",I like to eat bread with butter.
Breakfast,Desayuno,"The first meal of the day, usually eaten in the morning.",I like to have eggs and toast for breakfast.
Brick,Ladrillo,A rectangular block used for building walls and structures.,The house is made of brick.
Bricklayer,Albañil,A person who builds walls and structures using bricks.,The bricklayer is constructing a new house.
Brickman,Repartidor de ladrillos,A person who delivers bricks to construction sites.,The brickman delivered the bricks early in the morning.
Bright,Brillante / Luminoso,Emitting or reflecting a lot of light; vivid in color.,The sun is very bright today.
Broccoli,Brócoli,"A green vegetable with a tree-like structure, rich in vitamins and minerals.",She steamed broccoli as a healthy side dish.
Brother,Hermano,A male sibling.,My brother is very funny.
Brown,Marrón,The color of chocolate and coffee.,The dog is brown.
Building,Edificio,"A structure with a roof and walls, such as a house or factory.",The new building is very tall.
Bulletin board,Tablón de anuncios,A board for posting notices and information.,The school posted the event on the bulletin board.
Bureau,Tocador / Cómoda,A piece of furniture with drawers for storing clothes.,She keeps her clothes in the bureau.
Bus,Autobús,A large motor vehicle used for transporting passengers.,The bus is late today.
Butcher,Carnicero,A person who sells meat.,The butcher prepared a special cut of meat.
Butter,Mantequilla,A dairy product made from churning cream or milk.,I spread butter on my toast.
Buy,Comprar,To acquire something in exchange for money.,I want to buy a new car.
Cafeteria,Cafetería,"A place where food and drinks are served, often in a school or workplace.",We had lunch in the cafeteria.
Cage,Jaula,A structure made of bars or wires in which animals are kept.,The bird is in the cage.
Call,Llamar,To make a phone call or shout out to someone.,I will call you later this evening.
Can (auxiliary verb),Poder (verbo auxiliar),"Used to express ability, possibility, or permission.",She can swim very well.
Canned food,Comida enlatada,Food that has been preserved in a sealed can.,He keeps canned food in the pantry for emergencies.
Capitalize,Poner en mayúscula,To write or print in capital letters.,Please capitalize the first letter of each sentence.
Car,Coche / Auto,A vehicle used for transportation.,I drive my car to work every day.
Card file,Archivador de tarjetas,A box or drawer used to store index cards.,She organized her recipes in a card file.
Carpenter,Carpintero,A person who builds and repairs wooden structures.,The carpenter made a new table.
Carpet,Alfombra,A floor covering made of thick woven fabric.,The carpet in the living room is very soft.
Carry,Llevar,To hold or transport something from one place to another.,She carries a bag to school.
Cat,Gato,An animal that lives with people and likes to be alone.,My cat enjoys sleeping in the sun.
Catch,Atrapar,To capture or seize something that is moving.,He can catch the ball easily.
Caviar,Caviar,A delicacy consisting of salt-cured fish eggs.,They enjoyed caviar as an appetizer.
Ceiling,Techo,The upper interior surface of a room.,The ceiling is painted white.
Cereal,Cereal,"A breakfast food made from processed grains, often eaten with milk.",I eat cereal for breakfast.
Chair,Silla,"A piece of furniture for sitting, typically with a back and four legs.",I sat on the chair at the dining table.
Champagne,Champán,A sparkling wine produced in the Champagne region of France.,They celebrated with a bottle of champagne.
Change,Cambiar,To make or become different.,I want to change my hairstyle.
Cheap,Barato,Low in price; inexpensive.,The cheap shoes are on sale.
Checked,A cuadros,A pattern consisting of squares in alternating colors.,He is wearing a checked shirt.
Cheese,Queso,A dairy product made from curdled milk.,I like to eat cheese with crackers.
Cheesecake,Pastel de queso,A dessert made with a crust and a creamy cheese filling.,She baked a delicious cheesecake for the party.
Chest of drawers,Cajonera,A piece of furniture with multiple drawers for storage.,He organized his socks in the chest of drawers.
Chicken,Pollo,A domesticated bird raised for its meat and eggs.,We had chicken for dinner.
Child,Hijo/a,A son or daughter.,My child is my greatest joy.
Children,Niños / Niñas,Young human beings below the age of puberty.,The children are playing in the park.
Chips,Papas fritas (bolsa),"Thin slices of potato that are deep-fried or baked until crispy, often sold in bags.",She bought a bag of chips for the party.
Chocolate cake,Pastel de chocolate,A dessert made with chocolate-flavored cake layers and frosting.,He ordered a chocolate cake for his birthday.
Christmas,Navidad,"A holiday celebrated on December 25th, commemorating the birth of Jesus Christ.",We exchange gifts on Christmas.
Clam chowder,Sopa de almejas,"A creamy soup made with clams, potatoes, and onions.",She ordered clam chowder at the seafood restaurant.
Classroom,Aula / Salón de clases,A room where teaching and learning take place.,The students are in the classroom.
Climb,Escalar,"To go up or ascend, especially using the hands and feet.",They will climb the mountain tomorrow.
Closet,Armario,A small room or space for storing clothes and other items.,She hung her dresses in the closet.
Clothes dryer,Secadora de ropa,A machine used to dry clothes after washing.,I put my wet clothes in the clothes dryer.
Coat,Abrigo,A warm piece of clothing we wear over other clothes.,I wear a warm coat in the winter.
Coffee table,Mesa de centro,A low table typically placed in front of a sofa.,We put the magazines on the coffee table.
Cold,Frío,Having a low temperature; not warm.,The cold weather requires a jacket.
Cold drink,Bebida fría,A beverage that is served chilled or cold.,I like to drink a cold drink on a hot day.
College,Universidad / Colegio,An educational institution that offers higher education and degrees.,She is studying at college.
Comb,Peine,A tool used to arrange and style hair.,He used a comb to fix his hair.
Come back,Regresar / Volver,To return to a place.,She will come back home later.
Comedy,Comedia,A genre of film or television that is intended to be humorous.,We watched a comedy movie last night.
Comfortable,Cómodo,Providing physical ease and relaxation.,The comfortable chair is perfect for reading.
Complete,Completar,To finish or fill in all the parts of something.,Please complete the form with your information.
Computer,Computadora,An electronic device for storing and processing data.,I use my computer for work.
Computer programmer,Programador de computadoras,A person who writes and tests code for computer software.,The computer programmer developed a new app.
Consonant,Consonante,"A speech sound that is not a vowel, typically produced by obstructing airflow in the vocal tract.","The letter ""B"" is a consonant."
Cook,Cocinero,A person who prepares and cooks food.,The cook made a delicious meal.
Correction fluid,Corrector líquido,A liquid used to cover mistakes made in writing.,He used correction fluid to fix the error on the paper.
Cotton,Algodón,"A soft, fluffy fiber that grows in a boll around the seeds of cotton plants.",The shirt is made of cotton.
Cousin,Primo/a,The child of one's uncle or aunt.,My cousin is very friendly.
Crab,Cangrejo,"A crustacean with a hard shell and pincers, often found in the sea.",They caught a large crab while fishing.
Cradle,Cuna,"A small bed for a baby, typically on rockers or springs.",The baby sleeps in a cradle.
Cream,Crema,A pale yellowish-white color.,She wore a cream-colored dress to the wedding.
Cultivate,Cultivar,To prepare and use land for growing crops or plants.,They cultivate vegetables in their garden.
Cup,Taza,A small container used for drinking hot beverages.,She drank tea from a cup.
Curly,Rizado,Having a spiral or twisted shape.,The curly hair is beautiful.
Curtain,Cortina,A piece of fabric used to cover windows or separate spaces.,The curtain is drawn to block the sunlight.
Dad,Papá,A male parent.,My dad is very hardworking.
Dance,Bailar,To move rhythmically to music.,They dance at parties.
Dark green,Verde oscuro,A deep shade of green.,The forest is filled with dark green trees.
Daughter,Hija,A female child of one's parent.,My daughter is very intelligent.
Day,Día,A period of 24 hours; the time between sunrise and sunset.,I work during the day.
December,Diciembre,The twelfth month of the year.,Christmas is in December.
Delicious,Delicioso,Having a very pleasant taste or flavor.,The cake she baked was delicious.
Describe,Describir,To give an account of something in words.,Can you describe the painting?
Diamond,Diamante,A precious gemstone known for its hardness and brilliance.,She received a diamond ring.
Dictionary,Diccionario,A reference book containing words and their meanings.,I looked up the word in the dictionary.
Diet,Dieta,"The kinds of food that a person, animal, or community habitually eats.",She follows a vegetarian diet for health reasons.
Diet soda,Refresco dietético,A carbonated soft drink that is low in calories and sugar.,He prefers to drink diet soda instead of regular soda.
Different,Diferente,Not the same as another or each other.,My car is different from yours.
Dig,Cavar,To break up and move soil or earth.,He digs a hole in the ground.
Dinner,Cena,"The main meal of the day, usually eaten in the evening.",We had a delicious dinner at the new restaurant.
Directions,Direcciones,Instructions on how to get to a specific place.,Can you give me directions to the nearest gas station?
Director,Director,"A person who supervises the creative aspects of a film, play, or television production.",The director won an award for the movie.
Dish,Plato,"A flat, round object used for serving or eating food.",I put my food on a clean dish.
Dishwasher,Lavavajillas,A machine used for washing dishes automatically.,The dishwasher saved us a lot of time after dinner.
Disk drive,Unidad de disco,A device used to read and write data on a disk.,He saved the file to the disk drive.
Disk jockey,Disc jockey / DJ,A person who plays recorded music for an audience.,The disk jockey played popular songs at the party.
Do,Hacer,To perform an action or task.,I do my homework every day.
Do something together,Hacer algo juntos,To engage in an activity with someone else.,They like to do things together on weekends.
Do you work in the morning?,¿Trabajas por la mañana?,To ask if someone works during the morning hours.,"Yes, I work in the morning."
Doctor,Doctor / Médico,A person who is qualified to practice medicine.,The doctor examined the patient.
Dog,Perro,An animal that lives with people and is friendly and loyal.,My dog loves to play fetch.
Doll,Muñeca,"A small model of a human figure, often used as a child's toy.",The little girl is playing with her doll.
Don't,No,A word used to indicate negation or prohibition.,Don't forget to bring your book.
Double,Doblar,To fold or bend something in half.,She doubles the paper to make a card.
Down,Abajo,Indicates a lower position or direction.,The ball rolled down the hill.
Dress,Vestido,A one-piece garment for women or girls that covers the body and extends down over the legs.,She is wearing a beautiful dress.
Dresser,Tocador / Cómoda,A piece of furniture with drawers for storing clothes.,She keeps her clothes in the dresser.
Drink,Beber,To consume a liquid.,They like to drink water after exercising.
Drink,Beber,To consume a liquid.,They like to drink water after exercising.
Drink,Beber,To consume a liquid.,They like to drink water after exercising.
Drive,Conducir,To operate and control the direction of a vehicle.,He will drive to the city tomorrow.
Each,Cada,Every one of two or more people or things considered individually.,Each student has a book.
Ear,Oreja,The organ of hearing and balance in humans and animals.,She wore earrings on her ears.
Earth,Tierra,"The third planet from the Sun, home to all known life.",We live on planet Earth.
Egg,Huevo,"A round or oval object laid by female birds, reptiles, and fish, containing a developing embryo.",I had a boiled egg for breakfast.
Either,Cualquiera de los dos,Used to indicate a choice between two alternatives.,You can choose either the red or the blue one.
Electric razor,Afeitadora eléctrica,"A device used for shaving hair, powered by electricity.",He uses an electric razor for a quick shave.
Electrician,Electricista,A person who installs and maintains electrical systems.,The electrician fixed the wiring in the house.
Elephant,Elefante,"A large mammal with a trunk, tusks, and large ears, native to Africa and Asia.",The elephant is the largest land animal.
Empty,Vacío,Containing nothing; not filled or occupied.,The empty bottle needs to be recycled.
End,Fin / Terminar,The final part of something; to bring to a conclusion.,The movie has a happy end. / Please end the meeting.
Ending,Final,The conclusion or last part of something.,The movie had a happy ending.
Engagement,Compromiso,A formal agreement to get married.,They announced their engagement last week.
Enjoy,Disfrutar,To take pleasure in something.,They enjoy going to the beach.
Enough,Suficiente,An adequate amount or quantity.,I have had enough food.
Erarrings,Aretes / Pendientes,Decorative items worn on the ears.,She bought new earrings for the party.
Eraser,Borrador / Goma de borrar,A small object used to remove pencil marks from paper.,He used an eraser to fix his mistake.
Event,Evento,"An occurrence or happening, often of significance.",The concert was a memorable event.
Example,Ejemplo,A specific instance or case used to illustrate a concept or idea.,The teacher gave an example to explain the lesson.
Excitement,Emoción,A feeling of great enthusiasm and eagerness.,The children were filled with excitement on Christmas morning.
Exercise,Ejercicio,An activity that requires physical effort to improve health and fitness.,He goes for a run as part of his exercise routine.
Expensive,Caro,Costing a lot of money.,The expensive watch is a luxury item.
Eye,Ojo,The organ of sight in humans and animals.,His eye is blue.
Family,Familia,A group of related people.,My family is very important to me.
Fan,Ventilador,A device that creates a current of air for cooling or ventilation.,I turned on the fan to cool down the room.
Far,Lejos,Indicates a great distance from a point.,The mountains are far from the city.
Farewell,Despedida,An act of saying goodbye.,We had a farewell party for our colleague.
Farmer,Granjero,A person who owns or manages a farm.,The farmer grows vegetables and raises animals.
Father,Padre,A male parent.,My father is very kind.
February,Febrero,The second month of the year.,Valentine's Day is in February.
Feet,Pies,The lower extremities of the legs.,My feet are tired after a long day of walking.
File,Archivo,A collection of documents or data stored together.,She kept important documents in a file.
File cabinet,Archivador,A piece of furniture used to store files and documents.,He organized his paperwork in the file cabinet.
Find,Encontrar,To locate or discover something.,I need to find my keys.
Finish,Terminar,To complete or bring to an end.,She will finish her homework soon.
Fire,Fuego,The process of combustion that produces heat and light.,We sat by the fire to keep warm.
Firemen,Bomberos,People who are trained to extinguish fires.,The firemen arrived quickly to put out the fire.
Fireplace,Chimenea,"A structure for containing a fire, typically made of brick or stone.",The fireplace adds warmth to the room.
Fish,Pescar,"To catch fish, typically for food or sport.",He likes to fish on weekends.
Fish and chips,Pescado con papas fritas,A dish consisting of fried fish and deep-fried potato slices.,They enjoyed fish and chips at the seaside restaurant.
Fisherman,Pescador,A person who catches fish for a living or as a hobby.,The fisherman caught a big fish.
Fix,Arreglar,To repair or mend something that is broken.,He fixes his bike when it is damaged.
Flag,Bandera,"A piece of cloth with a distinctive design, used as a symbol or emblem.",The flag is waving in the wind.
Flight attendant,Auxiliar de vuelo,A person who assists passengers on an airplane.,The flight attendant served drinks during the flight.
Floor,Piso / Suelo,The lower surface of a room on which one stands.,She cleaned the floor with a mop.
Flower,Flor,A colorful plant often given as a gift.,I received a beautiful flower for my birthday.
Following,Siguiente,Coming after or next in order.,"The following day, we went to the beach."
Food,Comida,Something people or animals eat to live and be healthy.,I love trying new types of food.
Foot,Pie,The lower extremity of the leg below the ankle.,My foot hurts after walking all day.
Fork,Tenedor,A utensil with prongs used for eating or serving food.,She used a fork to eat her salad.
Form,Formulario,A document with blank spaces for information to be filled in.,Please fill out this form.
Fresh,Fresco / Fresca,"Something that is recently made, obtained, or harvested.",I bought fresh vegetables from the market.
Friday,Viernes,The fifth day of the week.,We will have a party on Friday.
Fried potatoes,Papas fritas,Potatoes that have been cut into strips and deep-fried until crispy.,They enjoyed fried potatoes with ketchup.
Friend,Amigo/a,A person you like and trust.,My friend and I go to the park together.
Front,Frente,The forward part or surface of something.,The front of the building is painted blue.
Front yard,Patio delantero,The area of land in front of a house.,The front yard has beautiful flowers.
Frozen food,Comida congelada,Food that has been preserved by freezing.,He bought frozen food for quick meals.
Full,Completo,Containing all parts or elements; not lacking anything.,The glass is full of water.
Full name,Nombre completo,A person's first name and last name together.,My full name is Italo Morales Fantone.
Future,Futuro,The time that is yet to come.,She is excited about her future plans.
Game,Juego,Something you do for fun or competition.,We played a board game last night.
Gardener,Jardinero,A person who tends and cultivates a garden.,The gardener planted new flowers.
Get,Obtener,To come into possession of something.,She will get a new car for her birthday.
Get dressed,Vestirse,To put on clothes.,She needs to get dressed for the party.
Get married,Casarse,To enter into a legal marriage.,They plan to get married next summer.
Get up,Levantarse,To rise from bed or a seated position.,I usually get up at 7 AM.
Gift,Regalo,Something given to someone without expecting anything in return.,I bought a gift for my friend's birthday.
Girl,Niña,A female child.,The girl is playing with her toys.
Girlfriend,Novia,A female partner in a romantic relationship.,He introduced his girlfriend to his family.
Glass,Vaso,A container used for drinking liquids.,He drank water from a glass.
Glass of,Vaso de,A container made of glass used for drinking liquids.,She poured a glass of water for herself.
Globe,Globo,A spherical representation of the Earth or other celestial body.,The globe shows all the countries.
Go,Ir,To move from one place to another.,They go to school every day.
Go home,Ir a casa,To return to one's place of residence.,"After work, I will go home."
Go out,Salir,"To leave a place, especially to socialize.",They will go out for dinner tonight.
Gold,Oro,A precious yellow metal used for making jewelry and coins.,She wears a gold necklace.
Golden,Dorado,The color of gold.,The ring is golden.
Good,Bueno,Having desirable qualities; satisfactory.,The good book was a bestseller.
Good boy,Buen chico,"A phrase used to praise or encourage someone, often a child or pet.","The dog wagged its tail when it heard ""Good boy."""
Good job,Buen trabajo,A phrase used to praise someone for their effort or achievement.,"She received a ""Good job!"" from her teacher for her project."
Grammar,Gramática,The set of rules that govern the structure of sentences in a language.,The student is learning English grammar.
Grandfather,Abuelo,The father of one's parent.,My grandfather is very wise.
Grandmother,Abuela,The mother of one's parent.,My grandmother is very caring.
Grapes,Uvas,"Small, round fruits that grow in clusters on vines.",I like to eat grapes as a snack.
Grass,Césped / Hierba,A green plant that covers the ground in lawns and fields.,The children played on the grass in the park.
Gray,Gris,The color of ashes and clouds.,The sky is gray today.
Great,Genial / Estupendo,Something that is very good or impressive.,We had a great time at the party.
Green,Verde,The color of grass and leaves.,The grass is green.
Greetings,Saludos,Words or phrases used to acknowledge someone's presence or arrival.,"Common greetings include ""Hello"" and ""Good morning."""
Grey,Gris,A color that is a mix of black and white.,The cat has grey fur.
Grocery store,Tienda de comestibles / Supermercado,A place where food and other household items are sold.,I went to the grocery store to buy vegetables.
Group,Grupo,"A number of people or things that are located, gathered, or classed together.",We are working in a group.
Hair,Cabello / Pelo,The fine thread-like strands growing from the skin of humans and animals.,She has long hair.
Hair drier,Secador de pelo,An electrical device used to blow air to dry hair.,She used a hair dryer to dry her hair quickly.
Hair dryer,Secador de pelo,An electrical device used to blow air to dry hair.,She used a hair dryer to dry her hair quickly.
Hairbrush,Aerógrafo / Cepillo para el cabello,A tool used to style and smooth hair.,She used a hairbrush to detangle her hair.
Hairdresser,Peluquero / Peluquera,A person who cuts and styles hair.,The hairdresser gave me a new haircut.
Ham,Jamón,"Meat from the hind leg of a pig, typically cured or smoked.",She served ham sandwiches for lunch.
Hamburguer meat,Carne para hamburguesa,Ground beef used to make hamburgers.,She cooked hamburguer meat for the barbecue.
Hanger,Percha / Gancho,A device used to hang clothes.,He hung his coat on the hanger.
Happy,Feliz,Feeling or showing pleasure or contentment.,She is happy with her new job.
Has,Tiene,"Third person singular form of ""have.""",She has a cat.
Hate,Odio,A strong feeling of dislike.,I hate waiting in long lines.
Have,Tener,To possess or own something.,I have a car.
Have lunch,Almorzar,To eat a midday meal.,We usually have lunch at noon.
He,Él,Personal pronoun used to refer to a male individual.,He is my brother.
He's sipping cold drinks,Él está bebiendo bebidas frías a sorbos.,To drink a liquid slowly in small amounts.,He's sipping cold drinks by the pool.
He's so smart,Él es muy inteligente,A phrase used to compliment someone's intelligence.,"""He's so smart,"" she said about her brother."
Head,Cabeza,"The upper part of the body that contains the brain, eyes, ears, nose, and mouth.",He hit his head on the door.
Head board,Cabecera,The upright part at the head of a bed.,She decorated the headboard with pillows.
Heavy,Pesado,Of great weight; difficult to lift or move.,The heavy box is hard to carry.
Heeled shoe,Zapato de tacón,"A type of shoe with a raised heel, typically worn by women.",She wore heeled shoes to the party.
Height,Altura,The measurement of someone or something from base to top.,Her height is 5 feet 6 inches.
Her,Su(s) - de ella,A possessive adjective used to indicate ownership or association with a female individual.,That is her book.
Here,Aquí,Indicates a location close to the speaker.,The book is here on the table.
Here you are,Aquí tienes,A phrase used when giving something to someone.,"Here you are, your coffee."
High,Alto,Having a great vertical extent.,The building is very high.
Hike,Caminar / Hacer senderismo,"To take a long walk, especially in nature.",We will hike in the mountains this weekend.
His,Su(s) - de él,A possessive adjective used to indicate ownership or association with a male individual.,That is his house.
Hobbies,Pasatiempos,Activities done for enjoyment during free time.,Her hobbies include painting and hiking.
Hole puncher,Perforadora,A device used to make holes in paper for filing.,She used a hole puncher to prepare the documents for the binder.
Holiday,Vacaciones,A period of time spent away from work or school for rest or travel.,We are going on holiday to the beach next month.
Honey,Miel,"A sweet, viscous substance produced by bees from flower nectar.",I like to add honey to my tea.
Hope,Esperanza,A feeling that something good will happen.,I have hope for a better future.
Horse,Caballo,A large domesticated animal used for riding and work.,She loves to ride her horse on weekends.
Hot,Caliente,Having a high temperature.,The hot soup burned my tongue.
House,Casa,A building where people live.,My house is my sanctuary.
Housekeeper,Ama de llaves,A person who manages the household chores and cleaning.,The housekeeper cleans the rooms every day.
Housewife,Ama de casa,A married woman who manages the household and takes care of domestic duties.,The housewife prepared a delicious meal.
How are you?,¿Cómo estás?,A common greeting used to inquire about someone's well-being.,"She greeted her friend and asked, ""How are you?"""
How do you spell your name?,¿Cómo se deletrea tu nombre?,A question used to ask someone to spell their name.,How do you spell your name? It's ...
How is it going?,¿Cómo va todo?,A casual way to ask about someone's current situation or feelings.,"He met his colleague and asked, ""How is it going?"""
How many apples are there?,¿Cuántas manzanas hay?,Used to ask about the quantity of apples.,How many apples are there in the basket?
How much sugar is there?,¿Cuánta azúcar hay?,Used to ask about the quantity of sugar.,How much sugar is there in the jar?
How old are you?,¿Cuántos años tienes?,A question used to ask someone about their age.,How old are you? I am 25 years old.
Hug,Abrazo,To hold someone tightly in your arms to show affection.,She gave her friend a warm hug.
Hungry,Hambriento,Feeling a need to eat.,The hungry child ate quickly.
I,Yo,Personal pronoun used by the speaker to refer to themselves.,I am happy.
"I'm fine, thanks","Estoy bien, gracias","A common response to the question ""How are you?""","When asked how he was, he replied, ""I'm fine, thanks."""
